Experiment,genotype,volume,time,beads,OD
ttubes,SP286,1,morning,no,1.81
ttubes,SP286,1,morning,yes,1.52
ttubes,SP286,2,morning,no,2.56
ttubes,SP286,2,morning,yes,1.82
ttubes,SP286,3,morning,no,0.195
ttubes,SP286,3,morning,yes,2.05
ttubes,SP286,4,morning,no,1.27
ttubes,SP286,4,morning,yes,2.1
ttubes,SP286,5,morning,no,1.76
ttubes,SP286,5,morning,yes,2.1
ttubes,SP286,1,afternoon,no,7.38
ttubes,SP286,1,afternoon,yes,5.98
ttubes,SP286,2,afternoon,no,9.46
ttubes,SP286,2,afternoon,yes,9.47
ttubes,SP286,3,afternoon,no,5.31
ttubes,SP286,3,afternoon,yes,10.2
ttubes,SP286,4,afternoon,no,3.24
ttubes,SP286,4,afternoon,yes,9.18
ttubes,SP286,5,afternoon,no,3.9
ttubes,SP286,5,afternoon,yes,8.65
ttubes,dea2,1,morning,no,1.16
ttubes,dea2,1,morning,yes,1.01
ttubes,dea2,2,morning,no,1.17
ttubes,dea2,2,morning,yes,1.02
ttubes,dea2,3,morning,no,1.11
ttubes,dea2,3,morning,yes,1.14
ttubes,dea2,4,morning,no,0.84
ttubes,dea2,4,morning,yes,1.27
ttubes,dea2,5,morning,no,1.04
ttubes,dea2,5,morning,yes,0.99
ttubes,dea2,1,afternoon,no,2.91
ttubes,dea2,1,afternoon,yes,2.34
ttubes,dea2,2,afternoon,no,4.23
ttubes,dea2,2,afternoon,yes,3.19
ttubes,dea2,3,afternoon,no,2.59
ttubes,dea2,3,afternoon,yes,4.66
ttubes,dea2,4,afternoon,no,2.35
ttubes,dea2,4,afternoon,yes,5.15
ttubes,dea2,5,afternoon,no,2.25
ttubes,dea2,5,afternoon,yes,4.4
24-well,SP286,1,morning,no,1.45
24-well,SP286,1,morning,yes,1.31
24-well,SP286,2,morning,no,1.44
24-well,SP286,2,morning,yes,1.68
24-well,SP286,3,morning,no,1.78
24-well,SP286,3,morning,yes,1.62
24-well,SP286,4,morning,no,1.66
24-well,SP286,4,morning,yes,2.18
24-well,SP286,5,morning,no,1.53
24-well,SP286,5,morning,yes,1.36
24-well,SP286,1,afternoon,no,5.81
24-well,SP286,1,afternoon,yes,4.61
24-well,SP286,2,afternoon,no,7.45
24-well,SP286,2,afternoon,yes,5.71
24-well,SP286,3,afternoon,no,6.71
24-well,SP286,3,afternoon,yes,5.99
24-well,SP286,4,afternoon,no,4.44
24-well,SP286,4,afternoon,yes,6.77
24-well,SP286,5,afternoon,no,3.48
24-well,SP286,5,afternoon,yes,5.85
24-well,dea2,1,morning,no,0.88
24-well,dea2,1,morning,yes,0.79
24-well,dea2,2,morning,no,0.97
24-well,dea2,2,morning,yes,1.29
24-well,dea2,3,morning,no,1.2
24-well,dea2,3,morning,yes,1.16
24-well,dea2,4,morning,no,1.37
24-well,dea2,4,morning,yes,1.28
24-well,dea2,5,morning,no,1.11
24-well,dea2,5,morning,yes,1.36
24-well,dea2,1,afternoon,no,2.73
24-well,dea2,1,afternoon,yes,2.21
24-well,dea2,2,afternoon,no,4.92
24-well,dea2,2,afternoon,yes,2.87
24-well,dea2,3,afternoon,no,3.12
24-well,dea2,3,afternoon,yes,3.11
24-well,dea2,4,afternoon,no,2.7
24-well,dea2,4,afternoon,yes,3.22
24-well,dea2,5,afternoon,no,2.55
24-well,dea2,5,afternoon,yes,3
96-well,SP286,1,morning,no,0.42
96-well,SP286,1,morning,1,0.29
96-well,SP286,1,morning,1.5,0.33
96-well,SP286,1,morning,3,0.49
96-well,SP286,1,morning,4.5,0.46
96-well,SP286,1,afternoon,no,0.42
96-well,SP286,1,afternoon,1,1.94
96-well,SP286,1,afternoon,1.5,1.88
96-well,SP286,1,afternoon,3,3.47
96-well,SP286,1,afternoon,4.5,3.85
96-well,dea2,1,morning,no,0.39
96-well,dea2,1,morning,1,0.3
96-well,dea2,1,morning,1.5,0.31
96-well,dea2,1,morning,3,0.99
96-well,dea2,1,morning,4.5,0.79
96-well,dea2,1,afternoon,no,0.42
96-well,dea2,1,afternoon,1,0.82
96-well,dea2,1,afternoon,1.5,1.2
96-well,dea2,1,afternoon,3,1.7
96-well,dea2,1,afternoon,4.5,1.99