experiment,strain,volume,time,beads,rep,OD,supplement
24-well,SP286,1,afternoon,0,1,5.11,none
24-well,SP286,1,afternoon,0,2,6.47,none
24-well,SP286,1,afternoon,0,3,5.86,none
24-well,SP286,1,afternoon,4.5,1,5.18,none
24-well,SP286,1,afternoon,4.5,2,4.70,none
24-well,SP286,1,afternoon,4.5,3,3.93,none
24-well,SP286,1,morning,0,1,1.44,none
24-well,SP286,1,morning,0,2,1.51,none
24-well,SP286,1,morning,0,3,1.41,none
24-well,SP286,1,morning,4.5,1,1.43,none
24-well,SP286,1,morning,4.5,2,1.27,none
24-well,SP286,1,morning,4.5,3,1.22,none
24-well,SP286,2,afternoon,0,1,6.48,none
24-well,SP286,2,afternoon,0,2,7.81,none
24-well,SP286,2,afternoon,0,3,8.06,none
24-well,SP286,2,afternoon,4.5,1,5.76,none
24-well,SP286,2,afternoon,4.5,2,5.42,none
24-well,SP286,2,afternoon,4.5,3,5.95,none
24-well,SP286,2,morning,0,1,1.40,none
24-well,SP286,2,morning,0,2,1.44,none
24-well,SP286,2,morning,0,3,1.47,none
24-well,SP286,2,morning,4.5,1,2.04,none
24-well,SP286,2,morning,4.5,2,1.66,none
24-well,SP286,2,morning,4.5,3,1.33,none
24-well,SP286,3,afternoon,0,1,6.96,none
24-well,SP286,3,afternoon,0,2,6.24,none
24-well,SP286,3,afternoon,0,3,6.93,none
24-well,SP286,3,afternoon,4.5,1,5.73,none
24-well,SP286,3,afternoon,4.5,2,5.43,none
24-well,SP286,3,afternoon,4.5,3,6.80,none
24-well,SP286,3,morning,0,1,1.97,none
24-well,SP286,3,morning,0,2,1.70,none
24-well,SP286,3,morning,0,3,1.66,none
24-well,SP286,3,morning,4.5,1,1.59,none
24-well,SP286,3,morning,4.5,2,1.40,none
24-well,SP286,3,morning,4.5,3,1.88,none
24-well,SP286,4,afternoon,0,1,4.81,none
24-well,SP286,4,afternoon,0,2,4.34,none
24-well,SP286,4,afternoon,0,3,4.19,none
24-well,SP286,4,afternoon,4.5,1,6.59,none
24-well,SP286,4,afternoon,4.5,2,6.56,none
24-well,SP286,4,afternoon,4.5,3,7.16,none
24-well,SP286,4,morning,0,1,1.81,none
24-well,SP286,4,morning,0,2,1.63,none
24-well,SP286,4,morning,0,3,1.55,none
24-well,SP286,4,morning,4.5,1,2.51,none
24-well,SP286,4,morning,4.5,2,2.30,none
24-well,SP286,4,morning,4.5,3,1.72,none
24-well,SP286,5,afternoon,0,1,3.62,none
24-well,SP286,5,afternoon,0,2,3.19,none
24-well,SP286,5,afternoon,0,3,3.65,none
24-well,SP286,5,afternoon,4.5,1,5.79,none
24-well,SP286,5,afternoon,4.5,2,5.55,none
24-well,SP286,5,afternoon,4.5,3,6.22,none
24-well,SP286,5,morning,0,1,1.58,none
24-well,SP286,5,morning,0,2,1.49,none
24-well,SP286,5,morning,0,3,1.51,none
24-well,SP286,5,morning,4.5,1,1.97,none
24-well,SP286,5,morning,4.5,2,1.50,none
24-well,SP286,5,morning,4.5,3,1.60,none
96-well,SP286,1,afternoon,1,1,1.78,none
96-well,SP286,1,afternoon,1,2,1.66,none
96-well,SP286,1,afternoon,1,3,2.84,none
96-well,SP286,1,afternoon,1,4,1.79,none
96-well,SP286,1,afternoon,1,5,1.86,none
96-well,SP286,1,afternoon,1,6,1.89,none
96-well,SP286,1,afternoon,1,7,1.69,none
96-well,SP286,1,afternoon,1,8,2.05,none
96-well,SP286,1,afternoon,1.5,1,1.89,none
96-well,SP286,1,afternoon,1.5,2,2.27,none
96-well,SP286,1,afternoon,1.5,3,1.87,none
96-well,SP286,1,afternoon,1.5,4,1.89,none
96-well,SP286,1,afternoon,1.5,5,1.75,none
96-well,SP286,1,afternoon,1.5,6,2.11,none
96-well,SP286,1,afternoon,1.5,7,1.70,none
96-well,SP286,1,afternoon,1.5,8,1.57,none
96-well,SP286,1,afternoon,3,1,3.40,none
96-well,SP286,1,afternoon,3,2,4.59,none
96-well,SP286,1,afternoon,3,3,3.43,none
96-well,SP286,1,afternoon,3,4,3.41,none
96-well,SP286,1,afternoon,3,5,3.23,none
96-well,SP286,1,afternoon,3,6,3.85,none
96-well,SP286,1,afternoon,3,7,2.91,none
96-well,SP286,1,afternoon,3,8,2.92,none
96-well,SP286,1,afternoon,0,1,0.37,none
96-well,SP286,1,afternoon,0,2,0.54,none
96-well,SP286,1,afternoon,0,3,0.42,none
96-well,SP286,1,afternoon,0,4,0.42,none
96-well,SP286,1,afternoon,0,5,0.35,none
96-well,SP286,1,afternoon,0,6,0.43,none
96-well,SP286,1,afternoon,0,7,0.40,none
96-well,SP286,1,afternoon,0,8,0.42,none
96-well,SP286,1,afternoon,4.5,1,3.89,none
96-well,SP286,1,afternoon,4.5,2,5.45,none
96-well,SP286,1,afternoon,4.5,3,3.55,none
96-well,SP286,1,afternoon,4.5,4,3.02,none
96-well,SP286,1,afternoon,4.5,5,3.41,none
96-well,SP286,1,afternoon,4.5,6,4.19,none
96-well,SP286,1,afternoon,4.5,7,3.60,none
96-well,SP286,1,afternoon,4.5,8,3.69,none
96-well,SP286,1,morning,1,1,0.19,none
96-well,SP286,1,morning,1,2,0.28,none
96-well,SP286,1,morning,1,3,0.40,none
96-well,SP286,1,morning,1,4,0.20,none
96-well,SP286,1,morning,1,5,0.28,none
96-well,SP286,1,morning,1,6,0.22,none
96-well,SP286,1,morning,1,7,0.51,none
96-well,SP286,1,morning,1,8,0.26,none
96-well,SP286,1,morning,1.5,1,0.24,none
96-well,SP286,1,morning,1.5,2,0.37,none
96-well,SP286,1,morning,1.5,3,0.38,none
96-well,SP286,1,morning,1.5,4,0.33,none
96-well,SP286,1,morning,1.5,5,0.24,none
96-well,SP286,1,morning,1.5,6,0.37,none
96-well,SP286,1,morning,1.5,7,0.42,none
96-well,SP286,1,morning,1.5,8,0.32,none
96-well,SP286,1,morning,3,1,0.32,none
96-well,SP286,1,morning,3,2,0.49,none
96-well,SP286,1,morning,3,3,0.39,none
96-well,SP286,1,morning,3,4,0.28,none
96-well,SP286,1,morning,3,5,0.36,none
96-well,SP286,1,morning,3,6,0.39,none
96-well,SP286,1,morning,3,7,0.45,none
96-well,SP286,1,morning,3,8,1.20,none
96-well,SP286,1,morning,0,1,0.33,none
96-well,SP286,1,morning,0,2,0.45,none
96-well,SP286,1,morning,0,3,0.43,none
96-well,SP286,1,morning,0,4,0.36,none
96-well,SP286,1,morning,0,5,0.28,none
96-well,SP286,1,morning,0,6,0.58,none
96-well,SP286,1,morning,0,7,0.41,none
96-well,SP286,1,morning,0,8,0.49,none
96-well,SP286,1,morning,4.5,1,0.34,none
96-well,SP286,1,morning,4.5,2,0.42,none
96-well,SP286,1,morning,4.5,3,0.41,none
96-well,SP286,1,morning,4.5,4,1.08,none
96-well,SP286,1,morning,4.5,5,0.35,none
96-well,SP286,1,morning,4.5,6,0.44,none
96-well,SP286,1,morning,4.5,7,0.34,none
96-well,SP286,1,morning,4.5,8,0.31,none
ttubes,SP286,1,afternoon,0,1,7.93,none
ttubes,SP286,1,afternoon,0,2,7.93,none
ttubes,SP286,1,afternoon,0,3,6.27,none
ttubes,SP286,1,afternoon,4.5,1,5.95,none
ttubes,SP286,1,afternoon,4.5,2,6.10,none
ttubes,SP286,1,afternoon,4.5,3,5.89,none
ttubes,SP286,1,morning,0,1,2.01,none
ttubes,SP286,1,morning,0,2,1.79,none
ttubes,SP286,1,morning,0,3,1.64,none
ttubes,SP286,1,morning,4.5,1,1.62,none
ttubes,SP286,1,morning,4.5,2,1.33,none
ttubes,SP286,1,morning,4.5,3,1.61,none
ttubes,SP286,2,afternoon,0,1,9.48,none
ttubes,SP286,2,afternoon,0,2,8.79,none
ttubes,SP286,2,afternoon,0,3,10.12,none
ttubes,SP286,2,afternoon,4.5,1,9.20,none
ttubes,SP286,2,afternoon,4.5,2,10.49,none
ttubes,SP286,2,afternoon,4.5,3,8.73,none
ttubes,SP286,2,morning,0,1,2.62,none
ttubes,SP286,2,morning,0,2,2.47,none
ttubes,SP286,2,morning,0,3,2.59,none
ttubes,SP286,2,morning,4.5,1,1.88,none
ttubes,SP286,2,morning,4.5,2,1.78,none
ttubes,SP286,2,morning,4.5,3,1.81,none
ttubes,SP286,3,afternoon,0,1,5.96,none
ttubes,SP286,3,afternoon,0,2,4.56,none
ttubes,SP286,3,afternoon,0,3,5.41,none
ttubes,SP286,3,afternoon,4.5,1,8.96,none
ttubes,SP286,3,afternoon,4.5,2,10.98,none
ttubes,SP286,3,afternoon,4.5,3,10.67,none
ttubes,SP286,3,morning,0,1,2.25,none
ttubes,SP286,3,morning,0,2,1.69,none
ttubes,SP286,3,morning,0,3,1.92,none
ttubes,SP286,3,morning,4.5,1,2.07,none
ttubes,SP286,3,morning,4.5,2,2.11,none
ttubes,SP286,3,morning,4.5,3,1.98,none
ttubes,SP286,4,afternoon,0,1,3.25,none
ttubes,SP286,4,afternoon,0,2,3.24,none
ttubes,SP286,4,afternoon,0,3,3.25,none
ttubes,SP286,4,afternoon,4.5,1,9.41,none
ttubes,SP286,4,afternoon,4.5,2,9.37,none
ttubes,SP286,4,afternoon,4.5,3,8.75,none
ttubes,SP286,4,morning,0,1,0.82,none
ttubes,SP286,4,morning,0,2,1.39,none
ttubes,SP286,4,morning,0,3,1.60,none
ttubes,SP286,4,morning,4.5,1,2.22,none
ttubes,SP286,4,morning,4.5,2,2.20,none
ttubes,SP286,4,morning,4.5,3,1.88,none
ttubes,SP286,5,afternoon,0,1,6.20,none
ttubes,SP286,5,afternoon,0,2,2.66,none
ttubes,SP286,5,afternoon,0,3,2.84,none
ttubes,SP286,5,afternoon,4.5,1,8.08,none
ttubes,SP286,5,afternoon,4.5,2,9.52,none
ttubes,SP286,5,afternoon,4.5,3,8.35,none
ttubes,SP286,5,morning,0,1,2.42,none
ttubes,SP286,5,morning,0,2,1.48,none
ttubes,SP286,5,morning,0,3,1.38,none
ttubes,SP286,5,morning,4.5,1,2.03,none
ttubes,SP286,5,morning,4.5,2,2.08,none
ttubes,SP286,5,morning,4.5,3,2.18,none
supp,SP286,5,morning,4.5,1,1.54,none
supp,SP286,5,morning,4.5,1,2.52,D
supp,SP286,5,morning,4.5,1,2.30,V
supp,SP286,5,morning,4.5,1,0.83,A
supp,SP286,5,morning,4.5,1,1.20,D+A
supp,SP286,5,morning,4.5,1,2.70,V+A
supp,SP286,5,morning,4.5,1,2.86,D+V
supp,SP286,5,morning,4.5,1,1.26,D+V+A
supp,SP286,5,morning,4.5,2,1.32,none
supp,SP286,5,morning,4.5,2,2.69,D
supp,SP286,5,morning,4.5,2,2.44,V
supp,SP286,5,morning,4.5,2,0.94,A
supp,SP286,5,morning,4.5,2,1.11,D+A
supp,SP286,5,morning,4.5,2,3.01,V+A
supp,SP286,5,morning,4.5,2,2.65,D+V
supp,SP286,5,morning,4.5,2,1.59,D+V+A
supp,SP286,5,morning,4.5,3,1.55,none
supp,SP286,5,morning,4.5,3,3.27,D
supp,SP286,5,morning,4.5,3,2.68,V
supp,SP286,5,morning,4.5,3,1.02,A
supp,SP286,5,morning,4.5,3,1.08,D+A
supp,SP286,5,morning,4.5,3,1.81,V+A
supp,SP286,5,morning,4.5,3,2.07,D+V
supp,SP286,5,morning,4.5,3,1.47,D+V+A
supp,SP286,5,afternoon,4.5,1,3.11,none
supp,SP286,5,afternoon,4.5,1,3.60,D
supp,SP286,5,afternoon,4.5,1,3.22,V
supp,SP286,5,afternoon,4.5,1,1.54,A
supp,SP286,5,afternoon,4.5,1,1.77,D+A
supp,SP286,5,afternoon,4.5,1,2.17,V+A
supp,SP286,5,afternoon,4.5,1,3.41,D+V
supp,SP286,5,afternoon,4.5,1,3.16,D+V+A
supp,SP286,5,afternoon,4.5,2,2.92,none
supp,SP286,5,afternoon,4.5,2,3.30,D
supp,SP286,5,afternoon,4.5,2,3.43,V
supp,SP286,5,afternoon,4.5,2,1.57,A
supp,SP286,5,afternoon,4.5,2,1.93,D+A
supp,SP286,5,afternoon,4.5,2,2.78,V+A
supp,SP286,5,afternoon,4.5,2,3.73,D+V
supp,SP286,5,afternoon,4.5,2,3.17,D+V+A
supp,SP286,5,afternoon,4.5,3,2.90,none
supp,SP286,5,afternoon,4.5,3,3.38,D
supp,SP286,5,afternoon,4.5,3,3.38,V
supp,SP286,5,afternoon,4.5,3,1.76,A
supp,SP286,5,afternoon,4.5,3,1.81,D+A
supp,SP286,5,afternoon,4.5,3,2.22,V+A
supp,SP286,5,afternoon,4.5,3,3.55,D+V
supp,SP286,5,afternoon,4.5,3,3.45,D+V+A
